LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2024 14:55:35,0                 
Time,Ampl
-0.0050000698,0.0220973
-0.0049999698,0.0353557
-0.0049998698,0.0220973
-0.0049997698,0.0265168
-0.0049996698,0.0265168
-0.0049995698,0.0220973
-0.0049994698,0.0309362
-0.0049993698,0.0265168
-0.0049992698,0.0132584
-0.0049991698,0.00883892
-0.0049990698,0.0441946
-0.0049989698,0.0220973
-0.0049988698,0.0132584
-0.0049987698,0.0265168
-0.0049986698,0.0265168
-0.0049985698,0.0176778
-0.0049984698,0.0309362
-0.0049983698,0.0220973
-0.0049982698,0.0265168
-0.0049981698,0.0176778
-0.0049980698,0.0220973
-0.0049979698,0.0132584
-0.0049978698,0.0176778
-0.0049977698,0.0220973
-0.0049976698,0.0220973
-0.0049975698,0.0132584
-0.0049974698,0.0265168
-0.0049973698,0.0176778
-0.0049972698,0.0176778
-0.0049971698,0.0176778
-0.0049970698,0.0220973
-0.0049969698,0.0265168
-0.0049968698,0.0220973
-0.0049967698,0.0176778
-0.0049966698,0.0132584
-0.0049965698,0.0220973
-0.0049964698,0.0176778
-0.0049963698,0.0132584
-0.0049962698,0.0176778
-0.0049961698,0.0132584
-0.0049960698,0.0265168
-0.0049959698,0.00883892
-0.0049958698,0.0220973
-0.0049957698,0.00883892
-0.0049956698,0.0220973
-0.0049955698,0.0132584
-0.0049954698,0.0220973
-0.0049953698,0.0132584
-0.0049952698,0.0132584
-0.0049951698,0.0132584
-0.0049950698,0.00883892
-0.0049949698,0.0132584
-0.0049948698,0.0132584
-0.0049947698,0.0176778
-0.0049946698,0.0176778
-0.0049945698,0.0132584
-0.0049944698,0.00883892
-0.0049943698,0.0132584
-0.0049942698,0.00883892
-0.0049941698,0.00883892
-0.0049940698,0.0132584
-0.0049939698,0.00441946
-0.0049938698,0
-0.0049937698,0.00883892
-0.0049936698,0.00441946
-0.0049935698,0.00883892
-0.0049934698,0.00883892
-0.0049933698,0.00883892
-0.0049932698,0.00883892
-0.0049931698,0.00883892
-0.0049930698,0.0132584
-0.0049929698,-0.00441946
-0.0049928698,0.0176778
-0.0049927698,0
-0.0049926698,-0.00441946
-0.0049925698,0.00441946
-0.0049924698,0.00441946
-0.0049923698,-0.00441946
-0.0049922698,-0.0176778
-0.0049921698,0.00883892
-0.0049920698,0
